task_id,fold,model,mean_pinball_loss,held_month
1,0,baseline_empirical_climatology,3.3027471279461285,2010-04
1,0,linear_qr,4.158391154613523,2010-04
1,0,lightgbm,4.029287065706358,2010-04
1,0,xgboost,4.156594249993284,2010-04
1,1,baseline_empirical_climatology,7.517383545128706,2010-05
1,1,linear_qr,6.013213636828901,2010-05
1,1,lightgbm,6.235872031399718,2010-05
1,1,xgboost,6.482346352581041,2010-05
1,2,baseline_empirical_climatology,13.585552364197534,2010-06
1,2,linear_qr,11.241032894867905,2010-06
1,2,lightgbm,13.090218738456574,2010-06
1,2,xgboost,13.10680194250172,2010-06
1,3,baseline_empirical_climatology,10.961546975942218,2010-07
1,3,linear_qr,9.257657507148702,2010-07
1,3,lightgbm,10.361111056961361,2010-07
1,3,xgboost,10.252016779745711,2010-07
1,4,baseline_empirical_climatology,6.528140660367112,2010-08
1,4,linear_qr,5.976950212398051,2010-08
1,4,lightgbm,7.317552998005397,2010-08
1,4,xgboost,7.0761535066626235,2010-08
1,5,baseline_empirical_climatology,7.44736753198653,2010-09
1,5,linear_qr,6.522261491430784,2010-09
1,5,lightgbm,6.288274409519973,2010-09
1,5,xgboost,6.274266484254137,2010-09
2,0,baseline_empirical_climatology,7.517383545128706,2010-05
2,0,linear_qr,6.013213636828901,2010-05
2,0,lightgbm,6.235872031399718,2010-05
2,0,xgboost,6.482346352581041,2010-05
2,1,baseline_empirical_climatology,13.585552364197534,2010-06
2,1,linear_qr,11.241032894867905,2010-06
2,1,lightgbm,13.090218738456574,2010-06
2,1,xgboost,13.10680194250172,2010-06
2,2,baseline_empirical_climatology,10.961546975942218,2010-07
2,2,linear_qr,9.257657507148702,2010-07
2,2,lightgbm,10.361111056961361,2010-07
2,2,xgboost,10.252016779745711,2010-07
2,3,baseline_empirical_climatology,6.528140660367112,2010-08
2,3,linear_qr,5.976950212398051,2010-08
2,3,lightgbm,7.317552998005397,2010-08
2,3,xgboost,7.0761535066626235,2010-08
2,4,baseline_empirical_climatology,7.44736753198653,2010-09
2,4,linear_qr,6.522261491430784,2010-09
2,4,lightgbm,6.288274409519973,2010-09
2,4,xgboost,6.274266484254137,2010-09
2,5,baseline_empirical_climatology,3.2958556302270012,2010-10
2,5,linear_qr,4.146940366138693,2010-10
2,5,lightgbm,5.220640163896636,2010-10
2,5,xgboost,5.2981254000001,2010-10
3,0,baseline_empirical_climatology,13.585552364197534,2010-06
3,0,linear_qr,11.241032894867905,2010-06
3,0,lightgbm,13.090218738456574,2010-06
3,0,xgboost,13.10680194250172,2010-06
3,1,baseline_empirical_climatology,10.961546975942218,2010-07
3,1,linear_qr,9.257657507148702,2010-07
3,1,lightgbm,10.361111056961361,2010-07
3,1,xgboost,10.252016779745711,2010-07
3,2,baseline_empirical_climatology,6.528140660367112,2010-08
3,2,linear_qr,5.976950212398051,2010-08
3,2,lightgbm,7.317552998005397,2010-08
3,2,xgboost,7.0761535066626235,2010-08
3,3,baseline_empirical_climatology,7.44736753198653,2010-09
3,3,linear_qr,6.522261491430784,2010-09
3,3,lightgbm,6.288274409519973,2010-09
3,3,xgboost,6.274266484254137,2010-09
3,4,baseline_empirical_climatology,3.2958556302270012,2010-10
3,4,linear_qr,4.146940366138693,2010-10
3,4,lightgbm,5.220640163896636,2010-10
3,4,xgboost,5.2981254000001,2010-10
3,5,baseline_empirical_climatology,5.094703429292928,2010-11
3,5,linear_qr,5.160755486932072,2010-11
3,5,lightgbm,5.540421630716267,2010-11
3,5,xgboost,5.390303859445605,2010-11
4,0,baseline_empirical_climatology,10.961546975942218,2010-07
4,0,linear_qr,9.257657507148702,2010-07
4,0,lightgbm,10.361111056961361,2010-07
4,0,xgboost,10.252016779745711,2010-07
4,1,baseline_empirical_climatology,6.528140660367112,2010-08
4,1,linear_qr,5.976950212398051,2010-08
4,1,lightgbm,7.317552998005397,2010-08
4,1,xgboost,7.0761535066626235,2010-08
4,2,baseline_empirical_climatology,7.44736753198653,2010-09
4,2,linear_qr,6.522261491430784,2010-09
4,2,lightgbm,6.288274409519973,2010-09
4,2,xgboost,6.274266484254137,2010-09
4,3,baseline_empirical_climatology,3.2958556302270012,2010-10
4,3,linear_qr,4.146940366138693,2010-10
4,3,lightgbm,5.220640163896636,2010-10
4,3,xgboost,5.2981254000001,2010-10
4,4,baseline_empirical_climatology,5.094703429292928,2010-11
4,4,linear_qr,5.160755486932072,2010-11
